"region","municipality","settlement","type","population","children"
"Орловская область","Болховский","Колонтаева","д","0","0"
"Республика Крым","Алушта","Пушкино","с","273","0"
"Липецкая область","Лев-Толстовский район","Барятино","с","7","1"
"Тверская область","Селижаровский район","Хилово","д","2","0"
"Томская область","Парабельский район","Басмасово","д","6","0"
"Республика Алтай","Шебалинский район","Каспа","с","375","118"
"Нижегородская область","Воскресенский район","Апариха","д","0","0"
"Калужская область","Малоярославецкий","Ерденево","ст","169","0"
"Ивановская область","Кинешемский район","Шилово","д","4","0"
"Краснодарский край","Кущёвский район","Большая Лопатина","х","352","59"